"Time","ACC_X.raw","ACC_Y.raw","ACC_Z.raw","ACC_X.norm","ACC_Y.norm","ACC_Z.norm","GYRO_X.raw","GYRO_Y.raw","GYRO_Z.raw","GYRO_X.norm","GYRO_Y.norm","GYRO_Z.norm","Ceramic_Piezo","Film_Piezo","Weighted_Film_Piezo","Activity_Name","New_Window"
"5596",8,-680,16836,-0.02,-0.43,10.07,64,19,33,-0.05,0.04,0.11,202,275,446,"human_fall","no"
"6295",20,-668,16928,0.04,-0.38,10.11,66,18,30,0.07,-0.14,-0.2,205,282,442,"human_fall","no"
"6996",8,-584,17008,-0.03,-0.35,10.09,66,17,32,0.07,-0.08,0.05,201,274,440,"human_fall","no"
"7695",68,-524,16824,0.04,-0.38,10.05,65,19,32,0.01,-0.14,-0.01,202,256,417,"human_fall","no"
"8395",-24,-644,16860,-0.02,-0.38,10.08,65,17,33,-0.05,-0.02,-0.01,189,236,384,"human_fall","no"
"9095",-96,-588,16880,0.02,-0.37,10.07,66,18,31,0.19,-0.02,-0.07,181,221,359,"human_fall","no"
"9795",-16,-632,16924,0.02,-0.39,10.09,65,23,32,-0.24,0.16,-0.07,174,205,333,"human_fall","no"
"10496",-28,-612,16888,0.04,-0.38,10.15,62,20,33,-0.12,-0.02,0.17,164,197,314,"human_fall","no"
"695",-100,-656,16956,-0.03,-0.38,10.13,66,17,31,0.19,0.04,-0.07,116,156,190,"human_fall","yes"
"1396",-24,-612,16852,0,-0.41,10.06,64,19,31,0.01,0.04,-0.01,119,152,201,"human_fall","no"
"2095",-52,-644,17072,-0.04,-0.42,10.13,64,19,30,0.01,-0.02,-0.14,117,159,203,"human_fall","no"
"2795",-60,-576,16944,-0.04,-0.34,10.14,66,18,32,0.07,-0.02,-0.2,118,165,199,"human_fall","no"
"3495",-84,-676,16996,-0.05,-0.34,10.17,65,21,32,0.01,0.04,-0.07,130,200,239,"human_fall","no"
"4195",-16,-656,16820,-0.01,-0.4,10.09,66,20,30,-0.18,0.1,-0.14,132,179,249,"human_fall","no"
"4895",-4,-624,16980,0.01,-0.38,10.06,66,18,32,0.07,-0.02,-0.01,128,174,241,"human_fall","no"
"5595",-8,-660,16872,0.02,-0.43,10.02,65,16,32,0.07,-0.08,-0.07,177,219,395,"human_fall","no"
"6296",-212,-620,16828,-0.07,-0.37,10.07,67,18,34,0.01,-0.02,-0.01,196,263,431,"human_fall","no"
"6995",36,-640,16984,0.06,-0.4,10.13,67,21,32,-0.05,-0.02,0.17,217,309,481,"human_fall","no"
"7695",-80,-620,16976,-0.04,-0.38,10.15,64,23,33,0.13,0.1,0.17,222,311,484,"human_fall","no"
"8395",-40,-616,16968,-0.02,-0.39,10.17,67,20,32,0.13,0.04,0.05,217,315,465,"human_fall","no"
"9095",-112,-580,16844,-0.02,-0.37,10.06,67,19,31,0.07,-0.08,0.05,209,307,451,"human_fall","no"
"9795",-44,-608,16932,0.01,-0.38,10.12,66,19,33,0.01,0.04,-0.07,204,288,421,"human_fall","no"
"10495",-52,-640,16948,-0.02,-0.37,10.06,65,18,33,-0.05,-0.02,0.05,186,274,388,"human_fall","no"
"695",-68,-640,16756,0.01,-0.42,10.1,66,18,31,0.13,-0.08,-0.01,98,135,125,"human_fall","yes"
"1396",-28,-604,16844,0,-0.33,10.1,67,21,33,0.01,-0.14,-0.14,97,134,123,"human_fall","no"
"2095",-44,-656,16940,-0.01,-0.42,10.08,66,18,31,0.01,-0.08,-0.01,95,136,122,"human_fall","no"
"2796",-140,-592,17064,-0.04,-0.36,10.15,65,17,28,0.07,-0.2,-0.2,95,137,122,"human_fall","no"
"3495",0,-616,16896,0.04,-0.34,10.08,65,20,30,0.07,-0.08,-0.01,99,148,128,"human_fall","no"
"4195",-28,-656,16912,-0.03,-0.39,10.04,65,19,32,0.07,0.16,0.11,161,225,300,"human_fall","no"
"4895",-12,-612,17012,-0.02,-0.38,10.1,65,15,33,0.13,-0.02,0.17,174,253,331,"human_fall","no"
"5595",-48,-548,16848,0.01,-0.34,10.14,65,21,32,0.13,0.1,0.11,181,266,333,"human_fall","no"
"6295",-48,-660,16892,0.01,-0.38,10.04,62,21,30,0.01,0.1,0.05,177,260,327,"human_fall","no"
"6995",-28,-592,16860,-0.02,-0.36,10.07,65,18,35,0.01,-0.02,0.05,172,252,311,"human_fall","no"
"7694",44,-664,16968,0,-0.37,10.15,64,18,31,-0.18,-0.02,-0.07,167,243,298,"human_fall","no"
