Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
5595,256.00,-592.00,16776.00,0.14,-0.36,10.11,64.00,20.00,31.00,0.07,0.18,-0.01,184,193,207 ,
6296,168.00,-568.00,16952.00,0.07,-0.35,10.05,64.00,19.00,30.00,-0.18,0.06,0.05,184,202,212 ,
6995,216.00,-600.00,17004.00,0.11,-0.33,10.17,68.00,21.00,30.00,0.00,0.18,-0.01,183,209,214 ,
7695,172.00,-616.00,16804.00,0.10,-0.38,10.10,65.00,21.00,32.00,0.07,0.12,0.05,184,208,215 ,
8396,232.00,-552.00,16844.00,0.09,-0.31,10.11,67.00,20.00,32.00,-0.06,-0.00,-0.01,183,210,216 ,
9095,220.00,-608.00,16844.00,0.13,-0.36,10.08,64.00,19.00,33.00,0.00,-0.06,-0.01,183,210,218 ,
9796,172.00,-604.00,16820.00,0.11,-0.36,10.08,62.00,18.00,31.00,-0.12,-0.00,-0.01,184,209,217 ,
10495,188.00,-584.00,16828.00,0.09,-0.33,10.14,67.00,21.00,35.00,-0.06,0.12,0.11,183,208,216 ,
button pressed
695,240.00,-604.00,16728.00,0.12,-0.34,10.04,64.00,20.00,31.00,-0.18,-0.06,0.05,171,200,176 ,
1395,228.00,-524.00,16948.00,0.12,-0.38,10.11,65.00,18.00,33.00,0.00,0.18,0.05,172,197,179 ,
2095,36.00,-620.00,16908.00,0.15,-0.35,10.09,65.00,18.00,29.00,0.07,-0.00,0.11,174,219,193 ,
2795,220.00,-660.00,16976.00,0.04,-0.41,10.08,64.00,19.00,31.00,-0.06,-0.00,-0.19,191,223,231 ,
3495,124.00,-608.00,16772.00,0.09,-0.36,10.06,67.00,17.00,30.00,0.07,-0.00,0.05,186,191,221 ,
4195,92.00,-656.00,16668.00,0.07,-0.39,10.00,61.00,20.00,30.00,-0.12,0.06,-0.07,187,190,214 ,
4894,188.00,-568.00,16796.00,0.11,-0.33,10.04,67.00,21.00,32.00,0.00,-0.06,0.11,186,185,208 ,
5595,164.00,-528.00,16748.00,0.10,-0.32,10.02,65.00,19.00,30.00,0.13,0.06,-0.01,184,187,209 ,
6294,176.00,-652.00,16668.00,0.06,-0.37,10.01,66.00,17.00,32.00,-0.06,-0.00,-0.01,182,188,208 ,
6995,216.00,-568.00,16900.00,0.11,-0.35,10.16,66.00,18.00,31.00,0.07,-0.19,-0.07,182,187,207 ,
7695,184.00,-572.00,16844.00,0.11,-0.41,10.02,64.00,18.00,32.00,-0.18,-0.06,-0.01,182,190,208 ,
8394,200.00,-596.00,16912.00,0.10,-0.38,10.09,67.00,22.00,30.00,0.25,0.06,-0.01,183,194,206 ,
9095,180.00,-616.00,16828.00,0.11,-0.33,10.07,66.00,17.00,31.00,-0.12,-0.06,0.05,180,190,207 ,
9794,148.00,-600.00,16760.00,0.11,-0.36,10.13,66.00,19.00,30.00,-0.06,0.12,-0.07,180,193,208 ,
10495,172.00,-584.00,16844.00,0.07,-0.34,10.05,64.00,19.00,32.00,-0.06,-0.00,0.17,181,194,208 ,
button pressed
697,0.00,-516.00,16860.00,0.04,-0.36,10.08,64.00,31.00,30.00,-0.18,0.73,0.05,168,240,185 ,
1396,72.00,-560.00,16704.00,0.05,-0.34,9.98,64.00,16.00,33.00,-0.06,-0.19,0.11,167,119,152 ,
2096,244.00,-536.00,16832.00,0.16,-0.34,10.10,66.00,18.00,31.00,0.07,-0.06,-0.01,178,273,222 ,
2796,128.00,-552.00,16884.00,0.09,-0.36,10.05,64.00,18.00,32.00,-0.12,-0.06,0.05,179,204,205 ,
3496,180.00,-588.00,16904.00,0.09,-0.33,10.18,67.00,16.00,30.00,-0.06,-0.12,0.11,179,167,193 ,
4196,144.00,-636.00,16960.00,0.15,-0.44,10.11,65.00,21.00,31.00,-0.12,0.18,-0.07,176,189,199 ,
4896,68.00,-576.00,16856.00,0.08,-0.39,10.05,64.00,19.00,31.00,-0.06,0.06,-0.01,176,190,198 ,
5595,88.00,-540.00,16888.00,0.08,-0.38,10.10,68.00,21.00,31.00,0.13,-0.00,0.05,178,194,199 ,
6296,128.00,-600.00,16872.00,0.10,-0.39,10.10,66.00,20.00,28.00,0.00,-0.00,-0.07,179,192,200 ,
6995,80.00,-612.00,16852.00,0.06,-0.34,10.04,63.00,15.00,33.00,-0.18,-0.12,0.17,178,197,201 ,
7696,208.00,-616.00,16876.00,0.08,-0.34,10.12,65.00,18.00,31.00,-0.12,-0.00,-0.01,179,196,202 ,
8396,120.00,-608.00,16824.00,0.09,-0.35,9.99,65.00,20.00,31.00,-0.06,-0.06,-0.01,178,198,203 ,
9095,184.00,-536.00,16824.00,0.13,-0.35,10.02,67.00,21.00,30.00,0.00,-0.06,0.05,178,199,203 ,
9796,140.00,-592.00,16956.00,0.06,-0.35,10.07,69.00,20.00,30.00,-0.12,-0.12,-0.01,179,201,203 ,
10495,152.00,-560.00,16856.00,0.09,-0.37,10.08,68.00,21.00,28.00,0.19,0.06,-0.01,180,201,205 ,
button pressed
695,152.00,-528.00,16736.00,0.04,-0.35,10.13,68.00,20.00,35.00,0.00,0.30,0.11,171,194,193 ,
1395,116.00,-680.00,16736.00,0.10,-0.37,10.02,67.00,21.00,31.00,-0.36,0.12,-0.13,173,196,192 ,
2095,164.00,-584.00,16864.00,0.13,-0.34,10.10,66.00,15.00,32.00,-0.06,-0.19,0.05,179,213,217 ,
2795,188.00,-624.00,16908.00,0.10,-0.37,10.15,65.00,19.00,32.00,0.19,-0.00,0.05,180,183,209 ,
3496,44.00,-592.00,16892.00,0.06,-0.40,10.05,68.00,17.00,31.00,0.13,-0.25,0.05,175,176,204 ,
4195,152.00,-652.00,16828.00,0.08,-0.34,10.11,65.00,18.00,32.00,0.00,-0.00,-0.07,179,188,207 ,
4895,168.00,-544.00,16804.00,0.13,-0.30,10.08,64.00,22.00,31.00,-0.06,-0.00,0.11,177,187,205 ,
5595,196.00,-608.00,16788.00,0.06,-0.37,10.05,65.00,22.00,32.00,-0.12,0.12,-0.07,178,191,204 ,
6295,128.00,-644.00,16956.00,0.09,-0.30,10.15,65.00,18.00,30.00,-0.12,-0.00,-0.01,179,192,205 ,
6995,148.00,-584.00,16852.00,0.09,-0.34,10.13,68.00,19.00,29.00,-0.06,-0.00,-0.25,176,194,205 ,
7695,220.00,-524.00,16808.00,0.12,-0.32,10.06,64.00,17.00,30.00,-0.06,-0.06,-0.07,177,193,205 ,
8394,212.00,-628.00,16928.00,0.13,-0.38,10.13,65.00,20.00,33.00,-0.06,0.06,0.24,176,196,206 ,
9095,168.00,-520.00,16800.00,0.11,-0.33,10.01,65.00,21.00,35.00,0.00,-0.06,-0.01,179,198,207 ,
9794,120.00,-636.00,16668.00,0.09,-0.38,10.00,66.00,24.00,32.00,0.07,0.18,-0.07,178,199,207 ,
10495,132.00,-508.00,16808.00,0.08,-0.31,10.02,67.00,23.00,27.00,0.00,0.12,-0.13,178,199,208 ,
button pressed
696,160.00,-616.00,16856.00,0.07,-0.33,10.05,67.00,21.00,32.00,-0.06,0.42,0.17,165,222,178 ,
