Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
4896,192.00,-532.00,16864.00,0.09,-0.35,10.12,67.00,19.00,28.00,0.07,-0.11,0.04,158,189,196 ,
5596,168.00,-576.00,16916.00,0.11,-0.32,10.14,64.00,19.00,31.00,-0.11,-0.05,-0.02,159,191,197 ,
6296,196.00,-624.00,16888.00,0.10,-0.39,10.07,65.00,23.00,32.00,-0.23,0.26,0.04,165,194,201 ,
6995,132.00,-516.00,16780.00,0.06,-0.37,10.08,67.00,16.00,29.00,0.01,0.20,-0.14,162,193,206 ,
7696,128.00,-468.00,16780.00,0.10,-0.34,10.05,67.00,15.00,31.00,0.01,-0.05,-0.02,166,192,206 ,
8395,216.00,-508.00,16888.00,0.07,-0.33,10.05,65.00,17.00,32.00,0.07,-0.17,-0.20,167,185,205 ,
9096,180.00,-536.00,16960.00,0.12,-0.35,10.15,65.00,21.00,29.00,0.01,0.14,-0.08,162,192,207 ,
9795,116.00,-584.00,16836.00,0.05,-0.33,10.03,66.00,22.00,31.00,-0.05,0.14,0.04,164,197,208 ,
10495,112.00,-712.00,16884.00,0.09,-0.39,10.03,63.00,18.00,33.00,-0.11,-0.05,0.04,168,197,207 ,
button pressed
696,144.00,-576.00,16892.00,0.16,-0.35,10.12,66.00,17.00,33.00,0.07,-0.17,-0.08,165,203,199 ,
1395,136.00,-524.00,16980.00,0.00,-0.30,10.02,65.00,15.00,35.00,0.01,-0.23,-0.02,164,199,200 ,
2096,136.00,-528.00,16780.00,0.06,-0.35,10.06,65.00,21.00,35.00,-0.05,0.26,-0.02,168,193,200 ,
2796,28.00,-620.00,16892.00,0.07,-0.30,10.07,69.00,20.00,30.00,0.19,0.01,0.04,167,193,201 ,
3496,156.00,-636.00,16804.00,0.09,-0.39,10.13,66.00,18.00,30.00,0.07,-0.05,-0.02,168,189,200 ,
4196,232.00,-552.00,16740.00,0.10,-0.36,10.02,65.00,20.00,34.00,-0.11,-0.17,0.17,168,191,200 ,
4895,140.00,-588.00,16876.00,0.06,-0.39,10.05,65.00,19.00,31.00,-0.11,-0.05,-0.02,166,195,201 ,
5596,96.00,-496.00,16868.00,0.12,-0.31,10.20,67.00,18.00,29.00,0.01,-0.05,-0.14,166,191,199 ,
6295,132.00,-752.00,16876.00,0.10,-0.36,10.15,66.00,19.00,28.00,0.13,0.01,-0.02,170,197,201 ,
6996,148.00,-512.00,16736.00,0.04,-0.30,10.09,63.00,21.00,31.00,-0.11,0.01,-0.08,167,194,202 ,
7695,232.00,-508.00,16928.00,0.10,-0.34,10.01,65.00,17.00,32.00,-0.05,0.07,0.04,167,196,204 ,
8395,108.00,-560.00,16936.00,0.07,-0.36,10.02,65.00,19.00,27.00,-0.11,0.01,-0.14,168,198,205 ,
9095,304.00,-568.00,16784.00,0.14,-0.33,10.09,64.00,19.00,32.00,-0.11,-0.05,0.17,168,197,207 ,
9795,144.00,-564.00,17020.00,0.04,-0.32,10.11,65.00,16.00,35.00,-0.05,-0.05,-0.02,171,196,208 ,
10495,152.00,-608.00,16944.00,0.10,-0.32,10.16,68.00,17.00,33.00,0.19,-0.05,0.17,167,183,202 ,
button pressed
696,64.00,-620.00,16776.00,0.06,-0.38,10.01,67.00,18.00,29.00,0.01,-0.05,-0.08,159,208,183 ,
1396,172.00,-600.00,16788.00,0.11,-0.34,10.01,69.00,18.00,32.00,0.07,-0.05,0.04,157,196,181 ,
2096,184.00,-608.00,16952.00,0.11,-0.31,10.18,63.00,18.00,29.00,-0.11,0.01,-0.02,158,191,180 ,
2797,68.00,-592.00,16872.00,0.07,-0.36,10.11,65.00,18.00,32.00,0.07,0.14,0.04,156,190,180 ,
3496,176.00,-608.00,16908.00,0.12,-0.39,10.12,63.00,18.00,31.00,0.13,0.14,-0.02,159,190,181 ,
4196,64.00,-544.00,16776.00,0.06,-0.34,10.10,66.00,17.00,31.00,0.07,-0.05,0.04,160,191,183 ,
4896,144.00,-584.00,16776.00,0.06,-0.40,10.03,66.00,18.00,30.00,-0.11,-0.11,-0.14,163,189,185 ,
5596,120.00,-624.00,16924.00,0.05,-0.36,10.06,66.00,20.00,29.00,-0.05,-0.05,-0.14,158,191,188 ,
6296,88.00,-632.00,16732.00,0.06,-0.35,10.03,66.00,19.00,30.00,0.01,0.01,-0.08,159,189,189 ,
6996,172.00,-600.00,16964.00,0.07,-0.34,10.03,65.00,20.00,31.00,0.01,0.01,-0.02,164,193,192 ,
7695,172.00,-560.00,16816.00,0.07,-0.37,10.04,64.00,17.00,32.00,0.01,0.01,0.04,166,190,191 ,
8396,92.00,-592.00,16768.00,0.10,-0.37,10.03,69.00,18.00,35.00,0.01,-0.05,0.10,162,188,193 ,
9095,164.00,-612.00,16844.00,0.09,-0.38,10.16,66.00,21.00,30.00,0.01,0.01,-0.02,164,189,195 ,
9796,152.00,-588.00,16916.00,0.09,-0.35,10.14,65.00,23.00,31.00,-0.17,0.07,-0.02,163,186,194 ,
10495,188.00,-568.00,16792.00,0.12,-0.37,9.96,63.00,20.00,33.00,-0.11,0.07,0.04,161,190,195 ,
button pressed
697,68.00,-580.00,16824.00,0.10,-0.35,10.15,66.00,20.00,30.00,0.01,-0.05,-0.14,153,164,169 ,
1396,148.00,-500.00,16720.00,0.03,-0.29,10.10,67.00,21.00,30.00,0.07,-0.11,0.17,154,173,173 ,
2096,80.00,-556.00,16824.00,-0.03,-0.33,10.07,63.00,22.00,30.00,-0.17,0.20,-0.08,154,174,177 ,
2796,188.00,-556.00,16784.00,0.14,-0.29,10.02,65.00,20.00,34.00,-0.11,-0.11,-0.08,155,185,183 ,
3496,160.00,-484.00,16832.00,0.04,-0.30,10.05,67.00,18.00,32.00,-0.11,-0.11,-0.02,157,184,188 ,
4197,52.00,-636.00,16824.00,0.04,-0.31,10.04,67.00,22.00,31.00,0.13,0.07,0.23,158,190,191 ,
4896,120.00,-584.00,16980.00,0.09,-0.33,10.12,64.00,17.00,31.00,-0.11,-0.11,0.04,160,192,195 ,
5596,68.00,-532.00,16820.00,0.01,-0.37,10.00,64.00,21.00,32.00,-0.05,0.01,0.17,162,191,199 ,
6296,200.00,-580.00,16736.00,0.11,-0.34,10.03,65.00,20.00,32.00,0.01,-0.11,-0.14,163,167,195 ,
6996,188.00,-492.00,16860.00,0.11,-0.33,10.02,65.00,17.00,31.00,0.01,-0.11,0.04,167,158,190 ,
