Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
1396,20,-676,16784,0,-0.39,10.04,67,20,34,0.16,0.08,0.03,119,145,186,
2095,-56,-608,16892,0,-0.35,10.05,64,17,29,-0.09,-0.1,-0.16,119,149,196,
2796,-44,-612,16852,0.01,-0.36,10.11,66,15,32,-0.09,-0.1,0.03,128,157,210,
3328,68,-644,16928,0.06,-0.44,10.05,70,38,36,0.1,1.61,-0.04,128,158,215,5
4029,20,-600,16896,0.03,-0.33,10.06,66,18,31,0.16,-0.1,0.03,126,165,225,
4728,-12,-608,16964,-0.01,-0.35,10.05,66,18,31,0.1,0.02,-0.16,209,332,493,
5429,-124,-612,16876,-0.02,-0.35,10.14,67,20,33,0.22,0.02,0.03,223,361,501,
6128,96,-528,16852,0.03,-0.35,10.06,66,20,34,0.04,0.15,0.03,217,358,480,
6828,12,-660,16940,-0.11,-0.39,10.12,65,18,32,-0.02,-0.1,-0.04,214,341,453,
7528,4,-500,16864,0.02,-0.35,10.04,65,19,30,0.16,0.02,-0.04,203,328,422,
8228,24,-548,16888,-0.01,-0.36,10.06,66,19,31,0.1,0.08,-0.04,195,318,406,
8928,36,-644,16860,-0.06,-0.39,10.04,66,19,33,0.04,0.08,0.15,189,292,387,
9628,12,-692,16828,-0.01,-0.38,10.15,65,18,31,-0.09,-0.04,0.03,186,269,366,
10327,40,-592,16880,0.04,-0.37,10.1,66,18,32,0.04,-0.16,0.03,180,246,343,
button pressed,,,,,,,,,,,,,,,,
695,-76,-604,16836,-0.04,-0.32,10.07,63,21,33,-0.02,0.02,0.03,111,158,200,
1396,-80,-608,16812,-0.08,-0.36,10.13,63,20,34,-0.09,-0.1,0.09,113,164,205,
2095,44,-664,16896,0.15,-0.47,9.96,72,31,32,0.34,1.43,0.03,113,175,212,
2795,-24,-560,16896,-0.04,-0.34,10.17,66,21,34,0.16,0.08,0.03,135,191,243,
3495,-16,-620,16880,0.01,-0.38,10.04,67,20,32,0.1,0.08,-0.04,221,352,526,
4195,-92,-628,16876,-0.01,-0.36,10.12,64,18,32,-0.15,-0.04,-0.04,230,376,555,
4895,-108,-728,16864,-0.08,-0.44,10.04,64,16,34,-0.09,-0.16,-0.04,215,405,560,
5595,-92,-500,16896,-0.04,-0.32,10.04,63,19,33,-0.15,-0.1,-0.16,211,406,531,
6295,-72,-588,16724,0,-0.37,10.1,66,19,31,-0.02,-0.1,-0.22,212,421,530,
6995,-8,-668,16932,0,-0.37,10.12,61,19,32,-0.09,0.08,0.03,217,408,512,
7695,-40,-544,16840,0.02,-0.37,10.03,64,18,33,-0.09,0.08,-0.1,198,393,483,
8395,12,-652,16744,-0.05,-0.34,10.09,62,21,32,-0.21,0.02,0.09,194,359,453,
9095,-28,-648,16904,-0.08,-0.4,10.13,61,18,34,-0.21,0.21,0.09,190,341,423,
9794,-12,-608,16764,-0.01,-0.34,10.06,69,18,34,0.04,-0.16,0.09,187,348,423,
10495,-8,-548,17044,-0.06,-0.35,10.14,67,19,32,-0.02,-0.04,0.03,188,336,421,
button pressed,,,,,,,,,,,,,,,,
696,-48,-576,16824,-0.07,-0.34,10.1,66,19,30,0.1,0.08,-0.28,128,152,222,
1396,32,-660,17044,0.02,-0.38,10.22,66,17,34,-0.09,-0.1,0.03,124,154,214,
2096,20,-592,16836,0.02,-0.39,10.15,68,22,32,-0.02,-0.04,-0.04,119,153,209,
2796,-12,-652,16848,0,-0.36,10.07,68,16,34,0.04,-0.1,0.21,117,150,200,
3346,208,-624,16044,0.99,-0.48,6.42,66,62,36,-0.02,1.49,-0.04,117,147,195,43
3355,1492,-680,8116,-1.34,0.06,12.32,61,-8,36,-0.21,-1.62,0.39,113,151,192,7
4055,-44,-644,16984,-0.03,-0.38,10.04,66,17,33,-0.09,-0.1,-0.04,111,139,182,
4755,-36,-660,16856,-0.03,-0.33,9.99,65,21,35,0.04,0.02,-0.04,202,291,456,
5454,-108,-584,17012,-0.02,-0.38,10.11,61,20,33,0.16,0.02,0.09,208,336,496,
6155,-128,-660,16968,-0.02,-0.36,10.11,67,21,32,-0.02,0.02,-0.04,211,325,488,
6854,40,-596,16944,0.03,-0.37,10.08,66,20,30,-0.09,0.21,-0.04,204,294,457,
7555,64,-532,16988,0.04,-0.32,10.16,63,19,33,-0.21,0.02,0.09,192,280,424,
8254,16,-616,16816,-0.06,-0.46,10.09,64,17,34,-0.02,-0.1,-0.1,191,266,399,
8954,-60,-640,16732,0.04,-0.34,10.07,65,16,36,-0.09,0.02,0.09,178,251,370,
9655,-100,-672,16872,0,-0.33,10.13,65,19,32,0.1,0.15,0.03,170,226,325,
10354,68,-668,16996,-0.08,-0.32,10.14,66,17,33,-0.02,0.08,0.15,164,204,287,
Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
696,92,-708,16856,0.01,-0.41,10.07,65,18,34,-0.08,0.13,0,140,171,207,
1396,-64,-604,16800,-0.05,-0.42,10.01,68,19,32,0.05,-0.11,-0.06,129,167,214,
2096,-112,-508,16736,-0.01,-0.36,10.09,65,18,35,0.23,-0.11,0,128,159,198,
2795,-16,-572,16992,-0.02,-0.33,10.19,66,17,32,0.17,-0.05,-0.12,171,193,328,
3496,-92,-576,16940,0.01,-0.33,10.08,65,20,31,-0.08,0.07,-0.18,222,304,512,
4195,-60,-520,16824,0.05,-0.39,10.15,64,21,33,-0.08,-0.05,0,228,322,499,
4896,56,-588,16956,0.04,-0.37,10.09,65,18,33,-0.02,0.07,-0.18,228,332,471,
5596,12,-568,16888,0.02,-0.36,10.18,64,23,32,-0.08,0.13,-0.06,222,327,455,
6296,-84,-596,16776,0.01,-0.33,10.02,63,18,33,0.05,0.01,0.06,212,312,428,
6996,-8,-640,16904,0.01,-0.41,10.04,65,19,33,0.05,-0.11,-0.06,204,291,399,
7695,64,-572,16896,0.07,-0.38,9.97,65,19,31,-0.14,0.01,0,188,270,354,
8396,72,-672,16884,0,-0.32,10.11,66,22,31,0.05,0.13,-0.3,180,250,320,
9095,40,-608,16952,0,-0.36,10.12,65,16,35,-0.02,-0.05,0.06,171,223,293,
9796,-44,-596,16984,-0.02,-0.36,10.16,64,16,31,-0.08,-0.11,-0.18,159,200,257,
10495,-56,-604,16756,-0.05,-0.38,10.06,64,17,32,0.11,-0.05,0.06,153,190,233,
button pressed,,,,,,,,,,,,,,,,
695,-28,-592,16856,-0.03,-0.32,10.08,69,21,32,0.11,0.13,-0.06,110,144,158,
1396,-8,-556,16996,-0.06,-0.35,10.18,61,19,34,-0.2,-0.17,0,112,146,166,
2096,48,-560,16820,-0.02,-0.37,10.08,65,19,30,0.17,0.01,-0.06,114,153,173,
2796,-68,-672,16784,-0.04,-0.34,10.08,64,21,30,-0.02,-0.11,-0.3,119,169,194,
3496,0,-640,16908,-0.01,-0.38,10.13,66,21,32,-0.02,0.07,-0.06,196,251,429,
4195,-88,-660,16900,-0.03,-0.38,10.16,63,20,32,-0.08,-0.05,0.06,208,276,460,
4896,-24,-580,16812,-0.03,-0.36,10.08,66,18,33,-0.02,-0.11,-0.06,204,284,446,
5595,-104,-588,16744,0,-0.35,10.03,68,18,32,0.05,-0.05,-0.06,197,284,417,
6296,60,-636,16832,-0.03,-0.36,10.15,65,20,31,0.05,0.01,0,202,271,388,
6995,-60,-600,16900,-0.01,-0.33,10.1,67,21,33,-0.02,0.07,-0.06,192,259,360,
7695,4,-672,16988,0.01,-0.37,10.18,66,20,33,0.11,0.07,-0.06,181,241,326,
8395,-48,-708,16864,-0.03,-0.38,10.08,64,16,30,-0.08,-0.05,0.19,172,235,300,
9095,12,-616,16912,-0.01,-0.38,10.08,65,19,34,-0.02,-0.05,0.19,163,227,269,
9796,-32,-652,16928,0,-0.37,10.09,65,17,32,-0.08,0.01,-0.24,159,214,246,
10495,12,-564,16856,0.02,-0.28,10.13,66,22,32,0.05,0.19,-0.18,152,194,222,
button pressed,,,,,,,,,,,,,,,,
696,-12,-612,16808,0.06,-0.35,10.05,68,19,32,0.05,0.07,0.19,129,151,203,
1396,-8,-576,16904,-0.02,-0.41,10.12,67,19,34,0.05,0.07,0,135,160,232,
2096,-88,-664,17028,-0.03,-0.36,10.22,65,17,36,0.11,-0.05,0.19,136,170,236,
2796,-12,-536,16832,0.01,-0.31,10.03,65,19,31,-0.02,0.07,-0.06,138,175,249,
3495,-44,-624,16900,0.01,-0.38,10.08,65,21,33,-0.02,-0.05,0.13,226,279,504,
4196,-92,-608,16724,0.01,-0.33,10.18,63,19,32,-0.08,-0.05,0.06,240,319,539,
4895,32,-592,16904,0.02,-0.35,10.09,66,20,34,0.05,0.13,0.13,228,368,543,
5596,64,-604,16972,0.04,-0.36,10.15,66,19,33,0.11,0.01,0.13,223,351,512,
6295,-64,-528,16728,-0.04,-0.39,10.05,68,17,31,0.05,-0.11,-0.06,224,334,482,
6995,-80,-680,16896,-0.02,-0.36,10.08,67,18,33,-0.08,-0.05,-0.06,210,307,459,
7695,-72,-576,16972,-0.02,-0.35,10.11,66,20,34,0.11,-0.05,0,213,292,446,
8395,-88,-632,16964,-0.08,-0.32,10.17,66,20,34,-0.08,0.01,0,197,280,426,
9096,104,-604,16980,0.08,-0.38,10.2,64,16,33,-0.14,-0.17,0.06,202,272,399,
9795,32,-724,16916,0.02,-0.39,10.1,60,20,33,-0.08,0.01,0,185,268,372,
10495,0,-632,16876,-0.04,-0.38,10.05,65,19,33,-0.08,-0.05,-0.06,178,258,340,
button pressed,,,,,,,,,,,,,,,,
696,84,-668,16840,0.03,-0.36,10.04,63,19,29,-0.14,-0.05,-0.06,143,206,275,
1397,-28,-660,16904,0.01,-0.4,10.14,63,17,31,0.05,-0.17,0,148,219,302,
2096,-8,-648,17000,-0.04,-0.37,10.15,66,19,32,0.05,0.01,-0.12,152,210,301,
2796,-80,-592,16808,0.04,-0.37,10.08,68,12,30,0.11,-0.48,0,148,198,298,
3496,8,-636,16804,-0.03,-0.3,10.12,64,19,34,-0.02,0.01,0,196,221,432,
4196,-60,-640,16940,0.01,-0.39,10.18,67,18,32,-0.02,-0.11,-0.06,247,323,594,
4896,32,-544,17048,0.01,-0.35,10.12,67,23,31,0.17,0.01,-0.18,248,341,577,
5596,4,-644,17120,-0.01,-0.4,10.14,64,19,31,0.05,-0.11,0.13,236,336,555,
6295,36,-600,16948,0,-0.31,10.12,64,20,33,0.17,0.07,-0.06,228,318,507,
6996,-40,-528,16868,0,-0.31,10.08,65,19,32,0.05,0.01,-0.12,219,292,445,
7695,68,-692,16864,0.01,-0.42,10.05,66,17,32,-0.08,-0.05,0.06,198,282,411,
