Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
782,492.00,-440.00,15820.00,0.13,-0.25,9.85,67.00,15.00,31.00,0.08,0.68,0.14,186,223,213 ,1635
1482,172.00,-520.00,16900.00,0.11,-0.33,10.06,66.00,21.00,30.00,0.01,0.07,0.02,188,210,215 ,
2182,88.00,-484.00,16756.00,0.10,-0.32,10.05,67.00,21.00,31.00,-0.23,0.01,0.20,189,212,215 ,
2882,128.00,-564.00,16880.00,0.10,-0.37,10.07,65.00,20.00,31.00,-0.11,-0.05,0.08,188,209,218 ,
3581,104.00,-544.00,16776.00,0.01,-0.29,10.08,68.00,20.00,32.00,0.01,0.01,0.02,188,209,218 ,
4282,220.00,-468.00,16860.00,0.08,-0.27,10.12,66.00,20.00,33.00,-0.05,0.07,0.08,191,208,220 ,
4342,148.00,-560.00,16872.00,0.07,-0.36,10.11,66.00,22.00,33.00,0.14,0.13,0.14,192,212,221 ,
4444,232.00,-556.00,16900.00,0.07,-0.33,10.05,65.00,19.00,32.00,0.01,-0.05,0.02,194,206,219 ,
4496,124.00,-580.00,16900.00,0.12,-0.36,10.09,67.00,19.00,31.00,0.14,0.01,0.02,191,213,221 ,
4515,180.00,-532.00,16816.00,0.10,-0.34,10.01,63.00,18.00,30.00,-0.05,-0.05,0.08,190,181,211 ,
4675,40.00,-480.00,16992.00,0.10,-0.33,10.09,65.00,22.00,31.00,0.01,0.13,-0.17,194,182,209 ,
5375,176.00,-652.00,16788.00,0.08,-0.34,10.05,67.00,21.00,30.00,0.14,0.01,0.08,194,187,210 ,
6075,160.00,-580.00,16916.00,0.01,-0.35,10.06,68.00,22.00,29.00,0.08,0.19,-0.04,190,203,216 ,
6775,84.00,-652.00,16784.00,0.08,-0.37,10.05,65.00,16.00,32.00,-0.11,-0.17,0.02,187,206,217 ,
7475,188.00,-576.00,16800.00,0.02,-0.36,10.04,60.00,18.00,30.00,-0.23,-0.05,-0.10,195,209,220 ,
